noc_link,noc,job_group,description,alt_titles
/Structure/NocProfile/bcb786e9275b4188be2e6c3e4d8fb8ce?objectid=aJ%2BD2V97JNLvBpsxm2Lc1FSZxEGcs1RC4jzdhB13HJsGNzd0lWCQ%2FQcQLR2J5bjO,NOC 2283,Information systems testing technicians,Information systems testing technicians execute test plans to evaluate the performance of software applications and information and telecommunications systems. They are employed in information technology units throughout the private and public sectors.,"['Application tester', 'Application testing technician', 'Software test co-ordinator', 'Software tester', 'Software testing technician', 'Systems tester', 'Systems testing technician', 'Test coordination analyst', 'User acceptance tester', 'Video game tester']"
/Structure/NocProfile/3edc98d60e5e472286a8a247b25524cb?objectid=CgqyNUqDDi4ReN8dv50XWs94A%2F6Taa519s56mrM4s%2FHmGH9U6U050WP0qpHkUYeK,NOC 3011,Nursing co-ordinators and supervisors,"Nursing co-ordinators and supervisors co-ordinate and supervise the activities of registered nurses, registered psychiatric nurses, licensed practical nurses and other nursing personnel in the provision of patient care. They are employed in health care institutions such as hospitals, clinics and nursing homes, and in nursing agencies.","['Acute care co-ordinator - nursing', 'Assistant head nurse', 'Birthing room nursing supervisor', 'Burn unit nursing co-ordinator', 'Burn unit nursing supervisor', 'Co-ordinator of nursing services', 'Critical care nursing supervisor', 'Delivery room nursing supervisor', 'Geriatric nursing supervisor', 'Head nurse', 'Nurse - team leader', 'Nursing care co-ordinator', 'Nursing co-ordinator', 'Nursing services co-ordinator', 'Nursing supervisor', 'Nursing unit co-ordinator', 'Nursing unit supervisor', 'Nursing ward supervisor', 'Obstetrical nursing supervisor', 'Operating room nursing supervisor', 'Patient care co-ordinator - nursing', 'Psychiatric nursing supervisor', 'Public health nursing supervisor', 'Rehabilitation nursing supervisor', 'Surgical co-ordinator - nursing', 'Surgical ward supervisor - nursing', 'Ward supervisor - nursing']"
/Structure/NocProfile/559414a0d9a54c1aba0bca048bf45512?objectid=CMLxr%2F3qlKqxcYbHRX7GQ5eBOA5KzLYnZt3KRYbKeYLrL%2FjZcE0mQf1IegImfQsg,NOC 3012,Registered nurses and registered psychiatric nurses,"Registered nurses and registered psychiatric nurses provide direct nursing care to patients, deliver health education programs and provide consultative services regarding issues relevant to the practice of nursing. They are employed in a variety of settings including hospitals, nursing homes, extended care facilities, rehabilitation centres, doctors' offices, clinics, community agencies, companies, private homes and public and private organizations or they may be self-employed.","['Ambulatory care nurse', 'Bedside nurse', 'Burn patient care nurse', 'Burn victim care nurse', 'Cardiac surgery nurse', 'Cardiology nurse', 'Cardiology nurse technician', 'Casual duty nurse', 'Circulating nurse', 'Clinic nurse', 'Clinical nurse', 'Clinical nurse specialist', 'Community health nurse', 'Consultant nurse', 'Contagious disease transmission prevention nurse', 'Coronary intensive care nurse', 'Coronary unit nurse', 'Critical care nurse', 'Dialysis nurse', ""Doctor's office nurse"", 'Emergency care nurse', 'Emergency nurse', 'First aid nurse', 'Float nurse', 'General duty nurse', 'General duty nurse - psychiatry', 'Geriatric care nurse', 'Geriatric nurse', 'Gerontology nurse', 'Graduate nurse', ""Graduate nurse - doctor's office"", 'Graduate nurse - occupational health', ""Graduate nurse - physician's office"", 'Graduate private duty nurse', 'Hemodialysis nurse', 'Home care neuroscience nurse', 'Home care nurse', 'Hospital hygiene nurse', 'Hospital hygienist - nursing', 'Hospital nurse', 'Independent practice - registered nurse', 'Industrial nurse', 'Infection control co-ordinator - hospital', 'Infection control nurse', 'Infection control officer - hospital', 'Infection control officer - medical', 'Infection surveillance nurse', 'Intensive care nurse', 'Intensive care unit (ICU) nurse', 'Liaison nurse', 'Medical intensive care nurse', 'Mental health nurse', 'Nephrology and kidney transplantation nurse', 'Nephrology and renal transplantation nurse', 'Nephrology nurse', 'Neuroscience nurse', 'Nurse', 'Nurse - birthing room', 'Nurse consultant', 'Nurse counsellor', 'Nurse researcher', 'Nurse technician', 'Nursing adviser', 'Nursing consultant', 'Nursing counsellor', 'Nursing evaluator', 'Nursing researcher', 'Nursing researcher - nurse', 'Nursing technician', 'Obstetrics nurse', 'Occupational health nurse', 'Occupational health nurse consultant', 'Occupational medicine nurse', 'Office nurse', 'On-call nurse', 'Oncology nurse', 'Operating room (OR) nurse', 'Out-patient clinic nurse', 'Outpost nurse', 'Outreach nurse', 'Palliative care nurse', 'Pediatric intensive care nurse', 'Pediatric nurse', 'Perinatal care nurse', ""Physician's office nurse"", 'Primary care nurse', 'Primary nurse', 'Private care nurse', 'Private duty nurse', 'Psychiatric and mental health nurse', 'Psychiatric nurse', 'Public and community health nurse', 'Public health nurse', 'Public health nurse consultant', 'Recovery room nurse', 'Red Cross nurse', 'Registered community health nurse', 'Registered industrial nurse', 'Registered nurse - call centre', 'Registered nurse - contact centre', 'Registered nurse - independent practice', 'Registered nurse - public and community health', 'Registered nurse - telehealth', 'Registered nurse (R.N.)', 'Registered psychiatric nurse (R.P.N.)', 'Registered public health nurse', 'Respiratory care nurse', 'Respiratory nurse specialist', 'School health nurse', 'School nurse', 'Scrub nurse', 'Staff nurse', 'Surgical intensive care nurse', 'Telehealth registered nurse', 'Tele-nurse', 'Triage nurse', 'Victoria Order nurse', 'Victorian Order of Nurses (VON) nurse', 'Visiting nurse', 'Ward nurse', 'Youth centre nurse']"
/Structure/NocProfile/bd831e4de43c49cbac36151edb0e93da?objectid=NOIYGQtJGl1yAyxcroMuKd%2FFPsH2YbxP%2Fqix0WP2fBXqKRr%2F1a53CN42GxAeb%2B8i,NOC 3111,Specialist physicians,"Specialists in clinical medicine diagnose and treat diseases and physiological or psychiatric disorders and act as consultants to other physicians. Specialists in laboratory medicine study the nature, cause and development of diseases in humans. Specialists in surgery perform and supervise surgical procedures. Specialists in clinical medicine usually work in private practice or in a hospital while those in laboratory medicine and in surgery usually work in hospitals. Residents in training to become specialist physicians are included in this unit group.","['Acute care specialist', 'Allergist', 'Allergologist', 'Anatomical pathologist', 'Anatomopathologist', 'Anesthesiologist', 'Anesthetist', 'Anesthetist-resuscitator', 'Autopsy pathologist', 'Cardiac surgeon', 'Cardiologist', 'Cardiology specialist', 'Cardiothoracic surgeon', 'Cardiovascular and thoracic surgeon', 'Cardiovascular and thoracic surgery specialist', 'Cardiovascular surgeon', 'Child specialist', 'Clinical immunologist', 'Clinical immunologist-allergist', 'Clinical immunology and allergy specialist', 'Clinical pathologist', 'Clinical pharmacologist', 'Community health physician', 'Community medicine physician', 'Community medicine specialist', 'Cosmetic surgeon', 'Critical care medicine physician', 'Critical care medicine specialist', 'Dermatologist', 'Diagnostic radiologist', 'Diagnostic radiology specialist', 'Ear specialist', 'Emergency medicine physician', 'Emergency medicine specialist', 'Emergency physician', 'Emergentologist', 'Endocrinologist', 'Environmental medicine specialist', 'Esthetic surgeon', 'Eye specialist', 'Forensic pathologist', 'Gastroenterologist', 'General pathologist', 'General surgeon', 'Geneticist - medical specialist', 'Geriatric medicine specialist', 'Geriatrician', 'Geriatrics specialist', 'Geriatrist', 'Gynecologist', 'Heart specialist', 'Hematological-pathologist', 'Hematologist', 'Hematopathologist', 'Hematopathology specialist', 'Histopathologist - medical specialist', 'Hyperbaric physician', 'Immunologist and allergologist', 'Infectious disease physician', 'Infectious disease specialist', 'Infertility specialist', 'Inpatient physician', 'Internal medicine specialist', 'Internist', 'Laryngologist', 'Lung specialist', 'Medical bacteriologist', 'Medical biochemist - physician', 'Medical examiner', 'Medical geneticist', 'Medical genetics specialist', 'Medical microbiologist', 'Medical oncologist', 'Medical oncology specialist', 'Medical parasitologist', 'Medical pathologist', 'Medical physiologist', 'Medical specialist', 'Neonatologist', 'Nephrologist', 'Nerve specialist', 'Neurological surgeon', 'Neurologist', 'Neuropathologist', 'Neuropsychiatrist', 'Neurosurgeon', 'Nose specialist', 'Nuclear medicine physician', 'Nuclear medicine specialist', 'Nuclear physician', 'Obstetrician', 'Obstetrician-gynecologist', 'Occupational health physician (OHP)', 'Occupational medicine specialist', 'Occupational physician', 'Oculist', 'Oncologist', 'Ophthalmologist', 'Orthopedic surgeon', 'Orthopedics specialist', 'Orthopedist', 'Otolaryngologist', 'Otologist', 'Otorhinolaryngologist', 'Otorhinolaryngology specialist', 'Pathologist - medical', 'Pathologist-hematologist', 'Pediatric oncologist', 'Pediatric surgeon', 'Pediatrician', 'Phoniatrician', 'Phoniatrist', 'Physiatrist', 'Physical medicine and rehabilitation specialist', 'Plastic surgeon', 'Plastic surgery specialist', 'Pneumologist', 'Police surgeon', 'Preventive medicine physician', 'Preventive medicine specialist', 'Proctologist', 'Psychiatrist', 'Psychopharmacologist', 'Pulmonary disease specialist', 'Pulmonary medicine physician', 'Pulmonary medicine specialist', 'Pulmonologist', 'Radiation oncologist', 'Radiologist', 'Radio-oncologist', 'Radio-oncology specialist', 'Rehabilitation specialist', 'Respiratory disease specialist', 'Respirologist', 'Rheumatologist', 'Rhinologist', 'Skin disease specialist', 'Skin specialist', 'Specialist doctor', 'Specialist in cardiology', 'Specialist in cardiovascular and thoracic surgery', 'Specialist in community medicine', 'Specialist in critical care medicine', 'Specialist in emergency medicine', 'Specialist in environmental medicine', 'Specialist in epidemiology and community medicine', 'Specialist in geriatric medicine', 'Specialist in hematopathology', 'Specialist in infectious diseases', 'Specialist in infertility', 'Specialist in internal medicine', 'Specialist in medical oncology', 'Specialist in nuclear medicine', 'Specialist in physical medicine and rehabilitation', 'Specialist in plastic surgery', 'Specialist in preventive medicine', 'Specialist in pulmonary disease', 'Specialist in spinal injuries', 'Specialist in sports medicine', 'Specialist in vascular surgery', 'Specialist physician', 'Spinal injury specialist', 'Sports medicine physician', 'Sports medicine specialist', 'Surgeon', 'Surgical pathologist', 'Surgical physician', 'Surgical resident', 'Thoracic surgeon', 'Throat specialist', 'Tropical medicine physician', 'Urologist', 'Vascular surgeon']"
/Structure/NocProfile/717073a92b664169ae04f973cb430ac9?objectid=a%2BVD56fiKl7ZScVfaWjL5D5C%2BntCZIzCCuzAGP9L9a83lCGGPEngkhLJ4s5HY4wr,NOC 3112,General practitioners and family physicians,"General practitioners and family physicians diagnose and treat the diseases, physiological disorders and injuries of patients. They provide primary contact and continuous care toward the management of patients' health. They usually work in private practice, including group or team practices, hospitals and clinics. Residents in training to be general practitioners or family physicians are included in this unit group.","['Civil aviation medical officer', 'Community preventive medicine physician', 'Company physician', 'Doctor of medicine (MD)', 'Family doctor', 'Family physician', 'Family practitioner', 'General practice intern', 'General practice physician', 'General practice resident', 'General practitioner (GP)', 'Industrial medical officer', 'Industrial medicine physician', 'Industrial physician', 'Intern', 'Locum doctor', 'Medical doctor', 'Medical missionary', 'Medical officer of health (MOH)', 'Missionary doctor', 'Physician resident', 'Primary care physician', 'Public health physician', 'Resident', 'Resident physician']"
/Structure/NocProfile/94c3633275e54de68417d2fdefb1ae64?objectid=RBTRZqOnEYGNPqoofamzVK7vUoow%2BxOosonkduLluXCwrWwNIxDSWoL%2F%2BKqb8T0K,NOC 3113,Dentists,"Dentists diagnose, treat, prevent and control disorders of the teeth and mouth. They work in private practice or may be employed in hospitals, clinics, public health facilities or universities.","['Dental surgeon', 'Dentist', 'Doctor of dental surgery', 'Endodontist', 'General practice dentist', 'Implantologist - dentistry', 'Oral and dental surgeon', 'Oral and maxillofacial surgeon', 'Oral medicine specialist', 'Oral pathologist', 'Oral pathology and maxillofacial surgery specialist', 'Oral radiologist', 'Oral surgeon', 'Orthodontist', 'Pediatric dentist', 'Pedodontist', 'Periodontist', 'Prosthodontist', 'Public health dentist', 'Stomatologist']"
/Structure/NocProfile/ccd16013af514de18b74fb781c93bd6d?objectid=30mdT5DRqn5IWXoEBOCj7cGD%2By7fE0GgRp9gGiMbj7j8236YxeImMEejRmuMT1p1,NOC 3114,Veterinarians,"Veterinarians prevent, diagnose and treat diseases and disorders in animals and advise clients on the feeding, hygiene, housing and general care of animals. They work in private practice or may be employed by animal clinics, farms, laboratories, government or industry.","['Animal pathologist', 'Avian veterinarian', 'Companion animal veterinarian', 'Equine veterinarian', 'Farm veterinarian', 'Food animal veterinarian', 'Laboratory animal veterinarian', 'Poultry veterinarian', 'Preventive medicine veterinarian', 'Small animal veterinarian', 'Small animal veterinary specialist', 'Veterinarian', 'Veterinarian practitioner', 'Veterinary anatomist', 'Veterinary bacteriologist', 'Veterinary dentist', 'Veterinary epidemiologist', 'Veterinary inspector', 'Veterinary internist', 'Veterinary laboratory diagnostician', 'Veterinary microbiologist', 'Veterinary parasitologist', 'Veterinary pathologist', 'Veterinary pharmacologist', 'Veterinary physiologist', 'Veterinary radiologist', 'Veterinary surgeon', 'Veterinary virologist', 'Zoo veterinarian']"
/Structure/NocProfile/c80cc9a32929433a83fdb9d3f2d6c98c?objectid=ykoWzsERmqj3CQPo3s2gx8I4DTV%2BVwOBKWMpfQoOvv665YBD9UH0PIvfRfW6AfWl,NOC 3121,Optometrists,"Optometrists examine eyes to assess and diagnose ocular diseases and disorders. They prescribe and fit eyeglasses and contact lenses and recommend treatments such as exercises to correct vision problems or ocular disorders. They work in private practice, clinics and community health centres.","['Doctor of optometry (OD)', 'Optometrist']"
/Structure/NocProfile/b7aa1b57672941db89595a6521e80cf2?objectid=4E2KpQqaqMuDgm9sXrWvPWz%2BtiAVHp9D9Qo%2BeoHrMql3TQ6tevQPyOl2vJBDbTiP,NOC 3122,Chiropractors,"Chiropractors diagnose, treat and prevent patients' neuromuscular-skeletal disorders of the spine, nervous system, pelvis and other body joints by adjusting the spinal column or through other corrective manipulation. They are usually in private practice or in clinics with other health practitioners.","['Chiropractor', 'Doctor of chiropractic (DC)']"
/Structure/NocProfile/ba0ef861198641629c67bf7d01fb4972?objectid=rQDhLWYERl0a0KV2A%2FTrtZGFebRD8yCbduJ05wIahxWCRXl4Te0EtZc3lgO9hvUY,NOC 3124,Allied primary health practitioners,"Allied primary health practitioners include nurse practitioners, physician assistants and midwives who provide primary health care and treatment in conjunction with physicians and in collaboration with other health professionals. Nurse practitioners and physician assistants provide a range of health services to patients delivering preventive and continuous care toward the management of patients' health. Midwives provide full-course care to women and their babies during the pre- and post-natal period. Nurse practitioners are employed in community health centres, hospitals, clinics and rehabilitation centres. Physician assistants usually work in private practice, including group or team practices, hospitals and clinics. Midwives are employed in hospitals, clinics, birthing centres or in private practice.","['Acute care nurse practitioner', 'Advanced nurse practitioner', 'Advanced practice nurse', 'Anesthesia assistant', 'Extended class registered nurse - nurse practitioner', 'Licensed midwife', 'Midwife', 'Nurse practioner - adult care', 'Nurse practitioner', 'Nurse practitioner - anesthesia', 'Nurse practitioner - cardiology', 'Nurse practitioner - extended class', 'Nurse practitioner - pediatrics', 'Nurse practitioner - primary health care', 'Nurse-midwife', 'Physician assistant', 'Primary health care nurse practitioner', 'Registered midwife (RM)', 'Registered nurse - extended class (RN-EC)']"
/Structure/NocProfile/373afa4c7b7a49d982b4e49d02f5cb97?objectid=uLKZkQOd4hfPrp2c4iquvvG%2FjGbEJYcwmp%2F%2BiIveIz%2BxYuWumEu6TsD6ZcZ7rUwx,NOC 3125,Other professional occupations in health diagnosing and treating,"Other professionals in health diagnosing and treating diagnose and treat the diseases and injuries of patients. This unit group includes doctors of podiatric medicine, chiropodists and podiatrists, naturopaths, orthoptists and doctors of osteopathic medicine. They work in private practices, clinics and hospitals.","['Chief orthoptist', 'Chiropodist', 'Clinical orthoptist', 'Doctor of naturopathic medicine', 'Doctor of naturopathy', 'Doctor of osteopathic medicine', 'Doctor of osteopathy', 'Doctor of podiatric medicine (D.P.M.)', 'Foot specialist', 'Naturopath', 'Naturopathic doctor (ND)', 'Naturopathic physician', 'Orthoptist', 'Osteopath - physician', 'Osteopathic doctor', 'Osteopathic physician', 'Podiatrist', 'Teaching orthoptist']"
/Structure/NocProfile/b669e809917d42c1b349c41eeae27563?objectid=klyRQjuc8ITyywMWDD%2F6P4orZbgWQ9ZDUDJF0aHITBnB%2F%2FTV24VRtlO8sJtNUTff,NOC 3131,Pharmacists,"Community pharmacists and hospital pharmacists compound and dispense prescribed pharmaceuticals and provide consultative services to both clients and health care providers. They are employed in retail and health centre pharmacies, or they may be self-employed. Industrial pharmacists participate in the research, development, promotion and manufacture of pharmaceutical products. They are employed in pharmaceutical companies and government departments and agencies.","['Clinical pharmacist', 'Community pharmacist', 'Dispensary department supervisor - hospital', 'Drug information pharmacist', 'Druggist', 'Health care institution pharmacist', 'Hospital druggist', 'Hospital pharmacist', 'Industrial pharmacist', 'Intern pharmacist', 'Pharmacist', 'Pharmacist consultant', 'Registered pharmacist', 'Retail pharmacist']"
/Structure/NocProfile/982de1bc0ed44035a5a7de5f8fa9276f?objectid=Qc%2B52RMXgCyYpxEzCk1G2jY2LVaiPGRNWYYVGVAoqB%2FYPZAJolFWMZBMkAGkxeef,NOC 3132,Dietitians and nutritionists,"Dietitians and nutritionists plan, implement and oversee nutrition and food service programs. They are employed in a variety of settings including hospitals, home health-care agencies and extended care facilities, community health centres, the food and beverage industry, educational institutions, and government and sports organizations, or they may work as private consultants.","['Administrative dietitian', 'Administrative nutritionist', 'Clinical dietitian', 'Clinical nutritionist', 'Community dietitian', 'Community nutritionist', 'Consultant dietitian', 'Consultant nutritionist', 'Dietetic consultant', 'Dietician', 'Dietitian', 'Dietitian-nutritionist', 'Nutrition and dietetics researcher', 'Nutrition consultant', 'Nutrition researcher', 'Nutrition specialist', 'Nutritionist', 'Private practice dietitian', 'Professional dietitian (P.Dt.)', 'Professional nutritionist', 'Public health dietitian', 'Public health nutritionist', 'Registered dietitian (RD)', 'Registered dietitian-nutritionist (RDN)', 'Registered nutritionist', 'Registered professional dietitian', 'Registered professional nutritionist', 'Research dietitian', 'Research nutritionist', 'Therapeutic dietitian', 'Therapeutic nutritionist']"
/Structure/NocProfile/58f932e9de1e4198be5f9619b4c1acf6?objectid=nxv5ggiADP%2Bh13eqVKuI%2FbkK5nj1QsD8B4kMAk%2FZNncoMuuhNnqrGHcZ3cWy5nng,NOC 3141,Audiologists and speech-language pathologists,"Audiologists diagnose, evaluate and treat individuals with peripheral and central hearing loss, tinnitus and balance problems. Speech-language pathologists diagnose, assess and treat human communication disorders including speech, fluency, language, voice and swallowing disorders. Audiologists and speech-language pathologists are employed in hospitals, community and public health centres, extended care facilities, day clinics, rehabilitation centres and educational institutions, or may work in private practice. Audiologists and speech-language pathologists who are supervisors are included in this unit group.","['Amplification audiologist', 'Audiologist', 'Audiology clinician', 'Audiology specialist', 'Certified audiologist', 'Certified hearing aid audiologist', 'Clinical audiologist', 'Community audiologist', 'Community speech-language pathologist', 'Diagnostic audiologist', 'Dispensing audiologist', 'Educational audiologist', 'Educational speech-language pathologist', 'Human communication disorders specialist', 'Industrial audiologist', 'Logopedist', 'Pediatric audiologist', 'Research audiologist', 'Speech and hearing therapist', 'Speech pathologist', 'Speech therapist', 'Speech-language clinician', 'Speech-language pathologist', 'Speech-language pathologist clinician', 'Speech-language pathologist researcher']"
/Structure/NocProfile/8cf6fd9357164582bd2d8f4735e9b64e?objectid=5RlNYt8zT62mSUVunMsuC3lWWC2QERHJnu1vxZ3DDIaX4b5x8yxMvjvJg9OSSzhx,NOC 3142,Physiotherapists,"Physiotherapists assess patients and plan and carry out individually designed treatment programs to maintain, improve or restore physical functioning and mobility, alleviate pain and prevent physical dysfunction in patients. They are employed in hospitals, clinics, industry, sports organizations, rehabilitation centres and extended care facilities, or they may work in private practice.","['Clinical physical therapist', 'Clinical physiotherapist', 'Consultant physical therapist', 'Consultant physiotherapist', 'Physical rehabilitation therapist', 'Physical therapist', 'Physical therapy clinical co-ordinator', 'Physical therapy clinical specialist', 'Physical therapy supervisor', 'Physiotherapist', 'Physiotherapy clinical co-ordinator', 'Physiotherapy supervisor', 'Registered physical therapist', 'Registered physiotherapist', 'Research physical therapist', 'Research physiotherapist']"
/Structure/NocProfile/914fea3459b74b49a4ce1e68e4249cf6?objectid=wMl%2FLNP5S8%2BV8u%2BEqGcjMdfli%2B%2FkMLzpALycxXnw%2BJMIJy47mPQ8K1pJUpdOJwMw,NOC 3143,Occupational therapists,"Occupational therapists develop individual and group programs with people affected by illness, injury, developmental disorders, emotional or psychological problems and aging to maintain, restore or increase their ability to care for themselves and to engage in work, school or leisure. They also develop and implement health promotion programs with individuals, community groups and employers. They are employed in health care facilities, in schools, and by private and social services agencies, or they may be self-employed.","['Case manager occupational therapist', 'Clinical occupational therapist', 'Clinical occupational therapy specialist', 'Community occupational therapist', 'Community practice occupational therapist', 'Home care occupational therapist', 'Occupational therapist (OT)', 'Occupational therapist vocational evaluator', 'Occupational therapy rehabilitation consultant', 'Research and development occupational therapist', 'Research occupational therapist', 'Vocational evaluator occupational therapist']"
/Structure/NocProfile/da544cbaa4b94d3d8b84f45d719fc868?objectid=9OZdb4iFxDb8Ky6P6wizb57rSG66%2F7sTU5OXH7zXY9QqBZFpeH%2BHHhD5egq45Xzc,NOC 3144,Other professional occupations in therapy and assessment,"Other professional occupations in therapy and assessment include specialized therapists who use techniques such as athletic, movement, art or recreational therapy to aid in the treatment of mental and physical disabilities or injuries. They are employed by establishments such as hospitals, rehabilitation centres, extended health care facilities, clinics, recreational centres, nursing homes, industry, educational institutions and sports organizations, or they may work in private practice.","['Art therapist', ""Art therapists' supervisor"", 'Art therapy consultant', 'Art therapy teacher (except education)', 'Athletic therapist', 'Athletic trainer - therapy', 'Biokineticist', 'Certified athletic therapist (CAT)', 'Certified kinesiologist', 'Dance therapist', ""Dance therapists' supervisor"", 'Dance therapy researcher', 'Dance-movement therapist', 'Dance-movement therapy researcher', 'Drama therapist', ""Drama therapists' supervisor"", 'Exercise physiologist', 'Exercise therapist', 'Human kineticist', 'Kinanthropologist', 'Kinesiologist', 'Movement analyst - medical', 'Movement therapist', 'Music therapist', ""Music therapists' supervisor"", 'Music therapy researcher', 'Recreational therapist', 'Registered dance therapist (DTR)', 'Registered kinesiologist', 'Remedial gymnast', 'Remedial gymnastics teacher (except education)', ""Remedial gymnasts' supervisor"", 'Remedial therapist', 'Spontaneous art teacher - therapy', 'Therapeutic recreationist']"
/Structure/NocProfile/8bd7957a8fd04bc299d3c82270a7270e?objectid=ODQUPnYR1dKX77%2FukHaG36rPR6Ky9c9KM4UWtKE5kEVfb2mLvD3lV2EyDXCBlIbY,NOC 3211,Medical laboratory technologists,"Medical laboratory technologists conduct medical laboratory tests, experiments and analyses to assist in the diagnosis, treatment and prevention of disease. They are employed in medical laboratories in hospitals, blood banks, community and private clinics, research facilities and post-secondary educational institutions. Medical laboratory technologists who are supervisors are included in this unit group.","['Advanced registered technologist - medical laboratory', 'Anatomical pathology technologist', 'Anatomical pathology technologist - anatomical pathology', 'Autopsy technologist - medical laboratory', 'Biochemistry technologist - medical laboratory', 'Blood bank technologist', 'Charge technologist - medical laboratory', 'Clinical immunology technologist', 'Clinical laboratory technologist', 'Combined laboratory and x-ray technologist', 'Cytogenetics technologist - medical laboratory', 'Cytology technologist', 'Cytotechnologist - medical laboratory', 'Electron microscopy technologist - medical laboratory', 'Hematology technologist - medical laboratory', 'Histology technologist', 'Histology technologist - medical laboratory', 'Histopathology technologist', 'Histotechnologist - medical laboratory', 'Immunohematology technologist', 'Immunohematology technologist - medical laboratory', 'Immunology technologist - medical laboratory', 'In-charge technologist - autopsy services', 'Medical laboratory supervisor', 'Medical laboratory technical supervisor', 'Medical laboratory technologist - anatomical pathology', 'Medical technologist', 'Medical technologist - medical laboratory', 'Medical technologists supervisor', 'Microbiology technologist - medical laboratory', 'Registered medical technologist', 'Registered technologist - medical', 'Serology technologist', 'Tissue technologist - medical laboratory']"
/Structure/NocProfile/d601f834e4af497f812c8c431b2ba219?objectid=S%2BiivQ%2FZ4caz8PydybPxxGVCRgDFmxotzryDhQaKyhAznXe%2FcYqVvF%2Bp61UqmJNd,NOC 3212,Medical laboratory technicians and pathologists' assistants,"Medical laboratory technicians conduct routine medical laboratory tests and set up, clean and maintain medical laboratory equipment. They are employed in medical laboratories in hospitals, clinics, research facilities, post-secondary educational institutions and government research laboratories. Pathologists' assistants assist at autopsies and examinations of surgical specimens or perform autopsies under a pathologist's supervision. They are usually employed in hospitals and universities.","['Biochemical technician - medical laboratory', 'Biological technician - medical laboratory', 'Blood bank technician', 'Cancer research technician', 'Clinical laboratory technician', 'Combined laboratory and x-ray technician', 'Community health technician - medical laboratory', 'Cytology technician', 'Epidemiology worker - medical laboratory', 'Hematology technician - medical laboratory', 'Histology technician', 'Laboratory assistant - medical', 'Laboratory technician - medical', 'Medical laboratory aide', 'Medical laboratory assistant', 'Medical laboratory helper', 'Medical laboratory technical assistant', 'Medical laboratory technician', 'Morgue attendant supervisor', 'Pathology assistant', 'Phlebotomist', 'Phlebotomy aide', 'Renal technician', 'Technical assistant - medical laboratory', 'Technical assistant - pathology']"
/Structure/NocProfile/2a52b9ba51044702a81ffb244b444e4e?objectid=AD1Dnoc3rSKeZyINBuQGPnNDmKpBMQ2IJQmXnsNkA1pH8%2FR26Li9sIh0dqspBqhx,NOC 3213,Animal health technologists and veterinary technicians,"Animal health technologists and veterinary technicians provide technical support to veterinarians by caring for animals and assisting in the diagnosis and treatment of animal health disorders. They are employed in veterinary clinics, animal hospitals, animal shelters, humane societies, zoos, animal research laboratories, pharmaceutical companies and government. Animal health technologists and veterinary technicians who are supervisors are included in this unit group.","['Animal care technician', 'Animal care technologist', 'Animal health technician', 'Animal health technician - agriculture', 'Animal health technologist', 'Animal health technologist supervisor', 'Animal operating room attendant', 'Laboratory animal technician', 'Laboratory animal technologist', 'Registered animal health technologist (RAHT)', 'Registered veterinary technician (RVT)', 'Veterinarian assistant', 'Veterinary laboratory technician', 'Veterinary technician', 'Veterinary technician supervisor', 'Veterinary technologist']"
/Structure/NocProfile/706648d90553427388c3fda9cec50341?objectid=w4muX8TzyoHCYPBkCH307GjFUVwpCy1yHTwTcYwG%2BoygwojUFuBDH0WMsvH%2F16j1,NOC 3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","Respiratory therapists assist physicians in the diagnosis, treatment and care of patients with respiratory and cardiopulmonary disorders. Clinical perfusionists provide technical support to patients undergoing cardiac surgery and patients requiring cardio-respiratory support. Cardiopulmonary technologists assist physicians in the technical aspects of diagnosis and treatment of cardiovascular and pulmonary disease. Respiratory therapists are employed in hospitals, extended care facilities, public health centres and respiratory home care companies. Clinical perfusionists and cardiopulmonary technologists are primarily employed in hospitals. Respiratory therapists, clinical perfusionists and cardiopulmonary technologists who are supervisors or instructors are included in this unit group.","['Anesthesia technologist', 'Cardiopulmonary technician', 'Cardiopulmonary technologist', 'Cardiopulmonary technology instructor', 'Cardiopulmonary technology supervisor', 'Cardiovascular perfusion clinical instructor', 'Cardiovascular perfusion instructor', 'Cardiovascular perfusion supervisor', 'Cardiovascular perfusion technologist', 'Cardiovascular perfusionist', 'Certified clinical perfusionist (CCP)', 'Chief perfusionist', 'Chief respiratory technologist', 'Clinical perfusion clinical instructor', 'Clinical perfusion supervisor', 'Clinical perfusionist', 'Extracorporal circulation technologist', 'Extracorporal technician', 'Extracorporal technologist', 'Inhalation technologist', 'Oxygen therapy technician', 'Perfusion technologist', 'Perfusionist', 'Polysomnographic technologist', 'Pulmonary function technologist', 'Registered respiratory care practitioner', 'Registered respiratory therapist (RRT)', 'Respiratory care practitioner', 'Respiratory technician', 'Respiratory technologist', 'Respiratory therapist', 'Respiratory therapy chief', 'Respiratory therapy clinical instructor', 'Respiratory therapy supervisor']"
